,precision,recall,f1-score,support
╟вK╨Л╣в,1.0,1.0,1.0,7.0
╨Лтбаа╨з╣в,1.0,1.0,1.0,10.0
╨ЛхЩ╫г╨з╣в,1.0,1.0,1.0,21.0
╨Л1╟в╣в,1.0,1.0,1.0,11.0
ю╤1╨з╣в,1.0,1.0,1.0,20.0
╨зхЩ╫г╨Л╣в,1.0,1.0,1.0,17.0
ю╤нЕ╫гпг╨з╣в,1.0,1.0,1.0,28.0
блнчоъ╟в╣в,1.0,1.0,1.0,14.0
╟внЕ╫гпг╨з╣в,1.0,1.0,1.0,20.0
блнчоъ╨Л╣в,1.0,1.0,1.0,16.0
ю╤K╨з╣в,1.0,1.0,1.0,10.0
╨ЛнЕ╫гпгю╤╣в,1.0,1.0,1.0,20.0
╨знЕ╫гпгю╤╣в,1.0,1.0,1.0,30.0
ю╤тбаа╟в╣в,1.0,0.9285714285714286,0.962962962962963,14.0
╟в╥╫пнбл╣в,1.0,1.0,1.0,11.0
╨з1╟в╣в,1.0,1.0,1.0,10.0
╨зY╨Л╣в,1.0,1.0,1.0,10.0
╟в╥╫пн╨Л╣в,1.0,1.0,1.0,10.0
блк╚╩╥╟в╣в,1.0,1.0,1.0,33.0
ю╤Yбл╣в,1.0,1.0,1.0,10.0
╟вY╨Л╣в,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
╨знчоъ╟в╣в,1.0,1.0,1.0,7.0
╨ЛнЕ╫гпг╟в╣в,1.0,0.9629629629629629,0.9811320754716981,27.0
╨зKю╤╣в,1.0,1.0,1.0,10.0
бл1╨Л╣в,1.0,1.0,1.0,19.0
ю╤X╨з╣в,1.0,1.0,1.0,9.0
╨ЛSбл╣в,1.0,1.0,1.0,14.0
╨з1╨Л╣в,1.0,1.0,1.0,9.0
блт╡пн╟в╣в,0.9583333333333334,1.0,0.9787234042553191,23.0
бл1╟в╣в,1.0,1.0,1.0,10.0
╟вX╨з╣в,1.0,1.0,1.0,13.0
╨Лтбаабл╣в,1.0,1.0,1.0,18.0
╟вт╡пн╨з╣в,1.0,1.0,1.0,19.0
╟вк╚╩╥╨з╣в,1.0,1.0,1.0,29.0
╨з╥╫пн╟в╣в,1.0,1.0,1.0,10.0
╨зX╟в╣в,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
╟в1ю╤╣в,1.0,1.0,1.0,24.0
╨ЛYю╤╣в,1.0,1.0,1.0,17.0
╨Л╥╫пн╟в╣в,1.0,1.0,1.0,19.0
ю╤к╚╩╥╨з╣в,1.0,1.0,1.0,15.0
╨Лт╡пн╟в╣в,1.0,1.0,1.0,18.0
блк╚╩╥╨Л╣в,1.0,1.0,1.0,9.0
блхЩ╫гю╤╣в,1.0,1.0,1.0,20.0
блхЩ╫г╨Л╣в,1.0,1.0,1.0,19.0
╨ЛхЩ╫гбл╣в,1.0,1.0,1.0,20.0
ю╤хЩ╫гбл╣в,1.0,1.0,1.0,17.0
ю╤хЩ╫г╨Л╣в,1.0,1.0,1.0,8.0
ю╤╥╫пн╨Л╣в,1.0,1.0,1.0,23.0
блнчоъю╤╣в,1.0,1.0,1.0,13.0
╟вSбл╣в,1.0,0.8571428571428571,0.923076923076923,7.0
╟вк╚╩╥бл╣в,1.0,1.0,1.0,31.0
╨зхЩ╫гю╤╣в,1.0,1.0,1.0,19.0
блYю╤╣в,1.0,1.0,1.0,17.0
ю╤Y╨Л╣в,1.0,0.9375,0.967741935483871,16.0
╨зX╨Л╣в,1.0,1.0,1.0,10.0
╨Лтбаа╟в╣в,1.0,1.0,1.0,16.0
блS╨Л╣в,0.9444444444444444,1.0,0.9714285714285714,17.0
╨ЛSю╤╣в,1.0,1.0,1.0,19.0
ю╤╥╫пнбл╣в,1.0,1.0,1.0,13.0
╨Лт╡пнбл╣в,1.0,0.9333333333333333,0.9655172413793104,15.0
╟вхЩ╫г╨з╣в,1.0,1.0,1.0,19.0
ю╤1бл╣в,1.0,1.0,1.0,23.0
ю╤1╟в╣в,1.0,1.0,1.0,11.0
╨зS╨Л╣в,1.0,1.0,1.0,21.0
╨зXю╤╣в,1.0,1.0,1.0,9.0
╟в1бл╣в,1.0,1.0,1.0,10.0
╨ЛS╟в╣в,1.0,1.0,1.0,15.0
╨Лк╚╩╥╟в╣в,0.95,1.0,0.9743589743589743,19.0
блт╡пню╤╣в,1.0,1.0,1.0,20.0
╨зк╚╩╥ю╤╣в,1.0,1.0,1.0,20.0
ю╤нЕ╫гпг╨Л╣в,1.0,1.0,1.0,38.0
ю╤Kбл╣в,1.0,1.0,1.0,7.0
ю╤к╚╩╥╨Л╣в,1.0,1.0,1.0,18.0
╨Л╥╫пнбл╣в,0.9,1.0,0.9473684210526316,9.0
╨зк╚╩╥╨Л╣в,1.0,1.0,1.0,22.0
ю╤т╡пн╨Л╣в,1.0,1.0,1.0,11.0
╟вк╚╩╥╨Л╣в,1.0,1.0,1.0,15.0
╨Лнчоъю╤╣в,0.9090909090909091,1.0,0.9523809523809523,10.0
╨ЛKю╤╣в,1.0,1.0,1.0,8.0
╟вт╡пнбл╣в,1.0,1.0,1.0,22.0
╨ЛY╟в╣в,1.0,1.0,1.0,9.0
ю╤K╨Л╣в,1.0,1.0,1.0,10.0
╟вXю╤╣в,0.9166666666666666,1.0,0.9565217391304348,11.0
бл╥╫пн╟в╣в,1.0,1.0,1.0,13.0
╟вK╨з╣в,1.0,1.0,1.0,11.0
блSю╤╣в,1.0,1.0,1.0,18.0
╨ЛK╟в╣в,1.0,1.0,1.0,19.0
бл╥╫пн╨Л╣в,1.0,1.0,1.0,19.0
ю╤S╨Л╣в,1.0,1.0,1.0,8.0
блтбааю╤╣в,1.0,0.9565217391304348,0.9777777777777777,23.0
╨ЛKбл╣в,1.0,1.0,1.0,19.0
блK╟в╣в,1.0,1.0,1.0,10.0
блт╡пн╨Л╣в,1.0,1.0,1.0,15.0
╟в╥╫пню╤╣в,1.0,1.0,1.0,10.0
╟внЕ╫гпг╨Л╣в,1.0,1.0,1.0,20.0
блKю╤╣в,1.0,1.0,1.0,21.0
╨ЛхЩ╫г╟в╣в,1.0,1.0,1.0,15.0
╨Лк╚╩╥╨з╣в,1.0,0.9444444444444444,0.9714285714285714,18.0
ю╤хЩ╫г╨з╣в,1.0,1.0,1.0,17.0
╟вхЩ╫гбл╣в,1.0,1.0,1.0,18.0
╨Л1ю╤╣в,1.0,1.0,1.0,9.0
╟втбааю╤╣в,1.0,1.0,1.0,20.0
ю╤╥╫пн╟в╣в,1.0,1.0,1.0,16.0
╨Лк╚╩╥бл╣в,1.0,1.0,1.0,23.0
╟в1╨Л╣в,0.95,1.0,0.9743589743589743,19.0
ю╤1╨Л╣в,1.0,1.0,1.0,10.0
╨ЛнЕ╫гпгбл╣в,1.0,1.0,1.0,24.0
╨з1ю╤╣в,1.0,1.0,1.0,15.0
ю╤Y╨з╣в,1.0,1.0,1.0,9.0
блнЕ╫гпгю╤╣в,1.0,1.0,1.0,30.0
╨ЛK╨з╣в,1.0,1.0,1.0,10.0
accuracy,0.9938271604938271,0.9938271604938271,0.9938271604938271,0.9938271604938271
macro avg,0.993116503141013,0.9925066298577669,0.9926083070028183,2916.0
weighted avg,0.9941609697268133,0.9938271604938271,0.9938350661011184,2916.0
